newmovieid,oldmovieid
0,1
481,2
1,3
482,4
483,5
2,6
484,7
485,8
5017,9
486,10
487,11
1399,12
488,13
3678,14
489,15
490,16
491,17
2657,18
492,19
3604,20
291,21
493,22
2163,23
494,24
495,25
496,26
497,27
2430,28
2068,29
6914,30
259,31
292,32
460,34
461,36
1859,38
462,39
6704,40
498,41
5992,42
499,43
971,44
293,45
500,46
3,47
1400,48
5596,49
4,50
294,52
3711,53
501,54
3679,55
2651,57
295,58
502,60
503,61
504,62
5832,63
1401,64
505,65
506,66
4035,68
2663,69
5,70
4663,71
5550,72
4698,73
2420,74
5018,75
507,76
9348,77
2421,78
508,79
6915,80
4036,81
2503,82
5687,83
4037,85
509,86
510,87
511,88
512,89
513,92
514,93
2431,94
515,95
8152,96
5289,97
5551,99
516,100
6,101
517,102
8579,103
518,104
519,105
296,106
1402,107
9349,108
7,110
1093,111
520,112
521,113
4038,116
9411,117
1403,118
7421,119
2504,121
2543,122
6019,123
297,125
298,126
6144,128
6446,129
4875,132
522,135
9561,137
523,140
524,141
2544,144
525,145
526,146
2164,147
5552,148
9350,149
463,150
8,151
7125,152
464,153
3680,154
5553,155
4463,156
9,157
527,158
528,159
529,160
530,161
299,162
10,163
3606,164
531,165
5290,166
532,168
5287,169
533,170
300,171
1026,172
1404,173
534,174
2069,175
301,176
535,177
5554,178
536,179
537,180
538,181
6916,183
9351,184
539,185
540,186
828,187
4876,188
541,189
302,190
542,191
1023,193
2422,194
543,195
544,196
3000,198
2505,199
545,201
9426,202
2423,203
546,204
547,205
7247,206
548,207
549,208
550,209
551,210
2165,211
552,212
4257,213
3681,214
303,215
11,216
553,217
554,218
555,219
9412,220
304,222
12,223
556,224
557,225
2545,227
2506,228
5555,229
558,230
13,231
305,232
4180,233
559,234
14,235
560,236
561,237
2139,238
562,239
563,240
9554,241
5104,242
564,243
2424,246
306,247
565,248
2432,249
566,250
567,251
568,252
465,253
569,254
3217,255
570,256
571,257
572,258
2652,259
15,260
466,261
573,262
9427,263
307,265
467,266
574,267
5556,269
575,270
576,271
2070,272
577,273
578,274
5692,275
579,276
580,277
6482,278
581,279
3051,280
582,281
583,282
4484,283
8919,284
9413,285
3682,287
584,288
585,289
468,290
586,291
587,292
588,293
6160,294
1405,295
16,296
6308,298
3683,299
469,300
9352,301
589,302
590,303
591,304
1004,305
2507,306
